date,gdp,debt ,rus,int ,spred
12/31/1994,-0.005109308,0,2.82,-0.2034,-3.0234
3/31/1995,0.069552732,0,0.49,0.547,0.057
6/30/1995,-0.051801371,0,0.8033,1.3678,0.5645
9/30/1995,0.005292557,0,0.4567,-1.3148,-1.7715
12/31/1995,0.002349435,0,-0.14,-1.3965,-1.2565
3/31/1996,0.059763082,0,-0.23,0.2363,0.4663
6/30/1996,-0.045485712,0,-0.1067,-1.2134,-1.1067
9/30/1996,0.01127828,0,-0.33,-0.3481,-0.0181
12/31/1996,5.5353E-05,0,0.09,-0.4363,-0.5263
3/31/1997,0.057760792,0,0.0767,-0.817,-0.8937
6/30/1997,-0.047463682,0,-0.12,-0.0811,0.0389
9/30/1997,0.015090906,0,0.0833,0.3333,0.25
12/31/1997,-0.005448669,0,-0.0133,0.05,0.0633
3/31/1998,0.058763136,0,0,1.0925,1.0925
6/30/1998,-0.060512283,0,0.0433,-0.1938,-0.2371
9/30/1998,0.003460283,0,-0.0367,-0.0365,0.0002
12/31/1998,-5.5125E-05,0,-0.0766,2.3745,2.4511
3/31/1999,0.043880835,0,-0.1534,-0.6434,-0.49
6/30/1999,-0.043540127,0,-0.57,-1.4153,-0.8453
9/30/1999,0.01439857,0,0.1534,-0.8907,-1.0441
12/31/1999,0.001473072,0,0.0466,-0.2876,-0.3342
3/31/2000,0.049163583,0,0.1967,-0.1078,-0.3045
6/30/2000,-0.045652801,0,0.3933,0.5388,0.1455
9/30/2000,0.019642615,0,0.4767,1.7526,1.2759
12/31/2000,-0.005146256,0,0.1933,0.7262,0.5329
3/31/2001,0.044277232,0,0.3034,1.1329,0.8295
6/30/2001,-0.048413683,0,0,-1.6746,-1.6746
9/30/2001,0.02324925,0,-1.2,-1.651,-0.451
12/31/2001,-0.005810131,0,-1.1567,-0.1756,0.9811
3/31/2002,0.045279037,0,-0.49,-1.3333,-0.8433
6/30/2002,-0.046200675,0,-1.2633,-7.7756,-6.5123
9/30/2002,0.022343738,0,-0.1867,0,0.1867
12/31/2002,-0.009949085,0,-0.0067,0,0.0067
3/31/2003,0.053192851,0,-0.07,0,0.07
6/30/2003,-0.045979106,0,-0.31,0,0.31
9/30/2003,0.02138997,0,-0.1766,0,0.1766
12/31/2003,-0.005261077,0,-0.1167,0,0.1167
3/31/2004,0.054075641,0,-0.11,0,0.11
6/30/2004,-0.040105923,0,-0.0133,0,0.0133
9/30/2004,0.022671169,0,0,0,0
12/31/2004,-0.010298672,0,0.16,0,-0.16
3/31/2005,0.051011856,0,0.41,0,-0.41
6/30/2005,-0.04210994,0,0.52,0,-0.52
9/30/2005,0.025298036,0,0.53,0,-0.53
12/31/2005,-0.015584648,0,0.3266,0,-0.3266
