date,country ,ex rate ,gdp,tb,cpi,debt
2000Q1,PHP ,41.063,1732814.628,-75340.65546,62.62626263,
2000Q2,PHP ,43.154,1734138.123,-55833.34123,63.04137263,
2000Q3,PHP ,46.283,1759796.175,-85414.20365,63.81624464,
2000Q4,PHP ,49.998,1763005.801,-115662.5309,65.08924865,
2001Q1,PHP ,49.378,1773568.939,-91490.02058,66.27923066,
2001Q2,PHP ,52.366,1789700.267,-145393.9858,66.61131867,
2001Q3,PHP ,51.355,1818360.193,-161115.1839,67.52456068,
2001Q4,PHP ,51.404,1820570.383,-156958.4049,67.91199668,
2002Q1,PHP ,51.148,1836290.874,-135665.7877,68.35478068,
2002Q2,PHP ,50.418,1850656.911,-143582.1919,68.65919469,
2002Q3,PHP ,52.447,1869494.182,-177836.1851,69.24034869,
2002Q4,PHP ,53.096,1904800.497,-179204.5574,69.37871869,
2003Q1,PHP ,53.532,1915767.856,-146841.205,69.7938287,
2003Q2,PHP ,53.706,1929681.844,-143528.4607,70.2919607,
2003Q3,PHP ,54.942,1980613.344,-132611.8858,70.76241871,
2003Q4,PHP ,55.569,2018612.638,-159428.5473,71.03915871,
2004Q1,PHP ,56.357,2053623.998,-113938.4533,71.84170472,
2004Q2,PHP ,56.181,2066707.366,-166128.9186,72.83796873,
2004Q3,PHP ,56.336,2106529.833,-138532.6257,74.88584475,
2004Q4,PHP ,56.267,2131517.167,-129436.8163,75.82676076,
2005Q1,PHP ,54.793,2162682.941,-60973.57633,77.04441677,
2005Q2,PHP ,55.919,2172663.85,-127149.6438,77.98533278,
2005Q3,PHP ,56.055,2208298.375,-93105.25877,79.39670679,
2005Q4,PHP ,53.067,2225691.865,-97029.90437,80.4483188,
2006Q1,PHP ,51.284,2271292.178,-47284.66419,81.91504082,
2006Q2,PHP ,53.587,2292981.196,-34391.88195,82.71758683,
2006Q3,PHP ,50.387,2315186.312,-28719.90553,83.52013284,
2006Q4,PHP ,49.132,2355785.657,-37220.69253,83.93524284,
2007Q1,PHP ,48.262,2420932.389,3893.823944,84.46104884,
2007Q2,PHP ,46.329,2436372.709,-30416.98855,84.90383285,
2007Q3,PHP ,45.063,2465594.677,-16308.06603,85.87242286,
2007Q4,PHP ,41.401,2509332.442,-17631.66587,86.61962087,
2008Q1,PHP ,41.868,2520608.709,-59623.48272,88.86121489,
2008Q2,PHP ,44.756,2557668.336,-53063.33135,91.96070292,
2008Q3,PHP ,45.685,2599761.031,-76903.55225,94.70042895,
